[23:04:26] === 5min BTC 单笔交易  [DRY-RUN] ===
[23:04:26] 入场过滤: 窗口BTC波动<$25 且 冷门方ask<0.30（开窗后105-135s）｜止盈 +100%｜未止盈拿到结算
[23:04:26] BTC喂价: Chainlink on Polygon（https://polygon-bor-rpc.publicnode.com）｜日志: data\logs\trade5m_20260910_230426.log
[23:04:59] [窗口 1] 起点 1789052700（本地 23:04:59），开始持续监测 …
[23:05:02] 市场: Bitcoin Up or Down - September 10, 11:05AM-11:10AM ET  (minSize=5)
[23:06:33] t+   93s  BTC=77328.435 range= 71.909  Up  0.660/ 0.670  Down  0.330/ 0.340  [盘口=WS 簿龄=0.1s/10s WS事件=1310(簿898/增量0) 距上次WS=0.1s] [链上round=55340232221132494129 age=21s]
[23:06:35] t+   95s  BTC=77328.435 range= 71.909  Up  0.620/ 0.630  Down  0.370/ 0.380  [盘口=WS 簿龄=0.1s/10s WS事件=1358(簿932/增量0) 距上次WS=0.1s] [链上round=55340232221132494129 age=24s]
[23:06:38] t+   98s  BTC=77328.435 range= 71.909  Up  0.590/ 0.610  Down  0.390/ 0.410  [盘口=WS 簿龄=0.4s/10s WS事件=1370(簿940/增量0) 距上次WS=0.3s] [链上round=55340232221132494129 age=27s]
[23:06:42] t+  101s  BTC=77328.435 range= 71.909  Up  0.530/ 0.540  Down  0.460/ 0.470  [盘口=WS 簿龄=0.0s/10s WS事件=1432(簿982/增量0) 距上次WS=0.0s] [链上round=55340232221132494129 age=30s]
[23:06:45] t+  104s  BTC=77295.420 range= 71.909  Up  0.570/ 0.600  Down  0.400/ 0.430  [盘口=WS 簿龄=0.1s/10s WS事件=1504(簿1031/增量0) 距上次WS=0.1s] [链上round=55340232221132494130 age=0s]
[23:06:52] t+  108s  BTC=77295.420 range= 71.909  Up  0.540/ 0.550  Down  0.450/ 0.460  [盘口=WS 簿龄=0.8s/10s WS事件=1629(簿1114/增量0) 距上次WS=0.7s] [链上round=55340232221132494130 age=7s]
[23:06:52] [入场检查] ❌ 波动 $71.91 ≥ $25，放弃。
[23:06:54] t+  114s  BTC=77295.420 range= 71.909  Up  0.540/ 0.550  Down  0.450/ 0.460  [盘口=WS 簿龄=1.0s/10s WS事件=1641(簿1122/增量0) 距上次WS=1.0s] [链上round=55340232221132494130 age=10s]
[23:06:58] t+  117s  BTC=77295.420 range= 71.909  Up  0.540/ 0.550  Down  0.450/ 0.460  [盘口=WS 簿龄=0.9s/10s WS事件=1647(簿1126/增量0) 距上次WS=0.8s] [链上round=55340232221132494130 age=13s]
[23:07:05] t+  120s  BTC=77295.420 range= 71.909  Up  0.630/ 0.640  Down  0.360/ 0.370  [盘口=REST 簿龄=无/10s WS事件=1673(簿1144/增量0) 距上次WS=3.5s] [链上round=55340232221132494130 age=21s]
